hypernym,hyponym
javascript,node.js
javascript,jquery
javascript,typescript
javascript,coffeescript
javascript,react
javascript,angular
javascript,vue.js
javascript,webpack
javascript,ajax
javascript,canvas
javascript,ecmascript
javascript,three.js
javascript,electron
javascript,eslint
javascript,promise
javascript,babel
javascript,chrome-extension
javascript,d3.js
javascript,backbone.js
javascript,phina.js
javascript,npm
javascript,yarn
html,electron
html,css
css,bootstrap
css,sass
css,scss
vue.js,nuxt.js
vue.js,vuex
vue.js,vuetify
webgl,three.js
react,redux
react,next.js
react,reactnative
ruby,rails
ruby,rbenv
ruby,mruby
ruby,rspec
ruby,capybara
php,laravel
php,cakephp
php,symfony
python,pip
python,pyenv
python,django
python,flask
python,scipy
python,numpy
python,keras
python,pytorch
python,chainer
python,scikit-learn
python,jupyter
python,beautifulsoup
python,kivy
python,tkinter
python,pyqt
r,rstudio
java,javafx
java,spring